Date,home_team,Score,away_team,Next_Date,Next_Team_Distances,home_talent,away_talent,avg_talent,scaled_avg_talent
2025-06-07,Sacramento Republic FC,,FC Tulsa,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.2923802555092163), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.7575100783654778), np.float64(0.3597817521744052))]",0.4675016449381518,0.4535796232407494,0.46054063408945056,0.3908212168756078
2025-06-11,Louisville City FC,,Rhode Island FC,2025-06-12,"[('Union Omaha', 'Greenville Triumph SC', np.float64(0.7843699305533529), np.float64(0.15392151168813328))]",0.482752551356811,0.414486961528953,0.448619756442882,0.3704622166634154
2025-06-11,Spokane Velocity FC,,Charlotte Independence,2025-06-12,"[('Union Omaha', 'Greenville Triumph SC', np.float64(0.5810861071518786), np.float64(0.15392151168813328))]",0.4532744718434864,0.4314575004896956,0.442365986166591,0.3597817521744052
2025-06-12,Union Omaha,,Greenville Triumph SC,2025-06-13,"[('One Knoxville SC', 'Richmond Kickers', np.float64(0.7251168840409565), np.float64(0.17049861580542336))]",0.310829783402712,0.3328260345463886,0.32182790897455027,0.15392151168813328
2025-06-13,One Knoxville SC,,Richmond Kickers,2025-06-14,"[('Louisville City FC', 'Birmingham Legion FC', np.float64(0.9314449150132678), np.float64(0.28915971745538105)), ('Spokane Velocity FC', 'Forward Madison FC', np.float64(0.3070830966472381), np.float64(0.23435053152688)), ('FC Naples', 'Chattanooga Red Wolves SC', np.float64(0.7476100514395254), np.float64(0.1268463444402067)), ('El Paso Locomotive FC', 'Orange County SC', np.float64(0.5135471924561583), np.float64(0.37134332749227095)), ('Texoma FC', 'South Georgia Tormenta FC', np.float64(0.7290040033937399), np.float64(0.020050336524680024)), ('Sacramento Republic FC', 'San Antonio FC', np.float64(0.24292261200745802), np.float64(0.35165851056579367)), ('Las Vegas Lights FC', 'Monterey Bay FC', np.float64(0.36190955029684513), np.float64(0.22951118437467544)), ('Colorado Springs Switchbacks FC', 'Oakland Roots SC', np.float64(0.5750313633896911), np.float64(0.17988194943118319)), ('FC Tulsa', 'Phoenix Rising FC', np.float64(0.7529125504839789), np.float64(0.3598555113069649)), ('Hartford Athletic', 'Charleston Battery', np.float64(0.7339912693951809), np.float64(0.28213085607064703)), ('Lexington SC', 'New Mexico United', np.float64(0.9488286668476861), np.float64(0.19197052299979966)), ('Rhode Island FC', 'North Carolina FC', np.float64(0.7113132235533954), np.float64(0.2990254887057484)), ('Tampa Bay Rowdies', 'Miami FC', np.float64(0.7949781325763048), np.float64(0.27432101008760923)), ('Indy Eleven', 'Pittsburgh Riverhounds FC', np.float64(0.8940599224683092), np.float64(0.1761906290648414)), ('Loudoun United FC', 'Detroit City FC', np.float64(0.849715062168125), np.float64(0.3878040797949813))]",0.3698083551641927,0.2932603639939071,0.33153435957904986,0.17049861580542336
2025-06-14,Louisville City FC,,Birmingham Legion FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.6745204677787056), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.8742622535056288), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.7625997644865009), np.float64(0.06117122083418303))]",0.482752551356811,0.3192762797353756,0.4010144155460933,0.28915971745538105
2025-06-14,Spokane Velocity FC,,Forward Madison FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.16943674091592553), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.24427707315120895), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.2006347559281012), np.float64(0.06117122083418303))]",0.4532744718434864,0.2845691249491887,0.36892179839633754,0.23435053152688
2025-06-14,FC Naples,,Chattanooga Red Wolves SC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.4990175146995497), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.7705568668615475), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.5984084030825537), np.float64(0.06117122083418303))]",0.3123543511543944,0.2995946292625152,0.3059744902084548,0.1268463444402067
2025-06-14,El Paso Locomotive FC,,Orange County SC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.22013162329701752), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.4512586041209967), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.30189578557981345), np.float64(0.06117122083418303))]",0.4347485450436453,0.4635228077433299,0.4491356763934876,0.37134332749227095
2025-06-14,Texoma FC,,South Georgia Tormenta FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.4224882355377255), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.6673880205299494), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.510526205012053), np.float64(0.06117122083418303))]",0.2266866558547882,0.2601970335130516,0.2434418446839199,0.020050336524680024
2025-06-14,Sacramento Republic FC,,San Antonio FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.026644432315051203), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.1764131328469566), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.08080507136896176), np.float64(0.06117122083418303))]",0.4675016449381518,0.4077174664194917,0.43760955567882176,0.35165851056579367
2025-06-14,Las Vegas Lights FC,,Monterey Bay FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.11670109147867058), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.2957194058125814), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.18127280536242207), np.float64(0.06117122083418303))]",0.3121706549611259,0.4200057416066431,0.3660881982838845,0.22951118437467544
2025-06-14,Colorado Springs Switchbacks FC,,Oakland Roots SC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.33624108239493866), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.5085201324154618), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.4019781882617611), np.float64(0.06117122083418303))]",0.3790917261298299,0.2949655063053242,0.33702861621757707,0.17988194943118319
2025-06-14,FC Tulsa,,Phoenix Rising FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.466007767542609), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.6875000022653546), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.5486989209302703), np.float64(0.06117122083418303))]",0.4535796232407494,0.4312387259857376,0.44240917461324347,0.3598555113069649
2025-06-14,Hartford Athletic,,Charleston Battery,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.934202312677221), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.7684861913991556), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.963190821716345), np.float64(0.06117122083418303))]",0.2755637893749745,0.5182337734143684,0.39689878139467144,0.28213085607064703
2025-06-14,Lexington SC,,New Mexico United,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.6929608366224388), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.8996063789853304), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.7844869773643309), np.float64(0.06117122083418303))]",0.3447517815387638,0.3434619816622498,0.3441068816005068,0.19197052299979966
2025-06-14,Rhode Island FC,,North Carolina FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.9500844756338045), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.7482815811036871), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.9420267518052), np.float64(0.06117122083418303))]",0.414486961528953,0.3990953496692194,0.4067911555990862,0.2990254887057484
2025-06-14,Tampa Bay Rowdies,,Miami FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.5302695963540658), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.8125280812689488), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.6314764730569098), np.float64(0.06117122083418303))]",0.4045594109642696,0.3800922981552468,0.3923258545597582,0.27432101008760923
2025-06-14,Indy Eleven,,Pittsburgh Riverhounds FC,2025-06-15,"[('Portland Hearts of Pine', 'Union Omaha', np.float64(0.6834878424179114), np.float64(0.09187256671232158)), ('Charlotte Independence', 'Greenville Triumph SC', np.float64(0.842756882119528), np.float64(0.2569281774128298)), ('Westchester SC', 'AV Alta FC', np.float64(0.7633303665315432), np.float64(0.06117122083418303))]",0.3979853400785226,0.2717491085280726,0.33486722430329763,0.1761906290648414
