Date,home_team,Score,away_team,Venue
2025-07-12,FC Tulsa,NA,Las Vegas Lights FC,ONEOK Field
2025-07-12,Oakland Roots SC,NA,Phoenix Rising FC,Oakland-Alameda County Coliseum
2025-07-12,San Antonio FC,NA,Tampa Bay Rowdies,Toyota Field
2025-07-13,Pittsburgh Riverhounds FC,NA,Loudoun United FC,Highmark Stadium
2025-07-16,Hartford Athletic,NA,Tampa Bay Rowdies,Trinity Health Stadium
2025-07-16,FC Tulsa,NA,Monterey Bay FC,ONEOK Field
2025-07-18,North Carolina FC,NA,Indy Eleven,First Horizon Stadium at WakeMed Soccer ...
2025-07-19,Rhode Island FC,NA,Hartford Athletic,Centreville Bank Stadium
2025-07-19,Charleston Battery,NA,Miami FC,Patriots Point Soccer Complex
2025-07-19,Loudoun United FC,NA,Oakland Roots SC,Segra Field
2025-07-19,Birmingham Legion FC,NA,Colorado Springs Switchbacks FC,Protective Stadium
2025-07-19,Louisville City FC,NA,FC Tulsa,Lynn Family Stadium
2025-07-19,Orange County SC,NA,Las Vegas Lights FC,Orange Country Great Park Championship S...
2025-07-19,Sacramento Republic FC,NA,Lexington SC,Heart Health Park
2025-07-19,Detroit City FC,NA,Pittsburgh Riverhounds FC,Keyworth Stadium
2025-07-29,Pittsburgh Riverhounds FC,NA,Miami FC,Highmark Stadium
2025-07-30,Hartford Athletic,NA,New Mexico United,Trinity Health Stadium
2025-07-30,Orange County SC,NA,Phoenix Rising FC,Orange Country Great Park Championship S...
2025-08-01,Colorado Springs Switchbacks FC,NA,Lexington SC,Weidner Field
2025-08-01,FC Tulsa,NA,Loudoun United FC,ONEOK Field
2025-08-02,El Paso Locomotive FC,NA,Las Vegas Lights FC,Southwest University Park
2025-08-02,San Antonio FC,NA,Sacramento Republic FC,Toyota Field
2025-08-02,Pittsburgh Riverhounds FC,NA,Rhode Island FC,Highmark Stadium
2025-08-02,Louisville City FC,NA,North Carolina FC,Lynn Family Stadium
2025-08-02,Indy Eleven,NA,Tampa Bay Rowdies,Michael A. Carroll Stadium
2025-08-02,Phoenix Rising FC,NA,Birmingham Legion FC,Phoenix Rising Soccer Stadium
2025-08-06,Monterey Bay FC,NA,FC Tulsa,Cardinale Stadium
2025-08-06,Rhode Island FC,NA,Detroit City FC,Centreville Bank Stadium
2025-08-06,Hartford Athletic,NA,Miami FC,Trinity Health Stadium
2025-08-09,North Carolina FC,NA,Tampa Bay Rowdies,First Horizon Stadium at WakeMed Soccer ...
2025-08-09,Miami FC,NA,El Paso Locomotive FC,South Dade Kia Field at Pitbull Stadium
2025-08-09,Detroit City FC,NA,Indy Eleven,Keyworth Stadium
2025-08-09,Rhode Island FC,NA,Loudoun United FC,Centreville Bank Stadium
2025-08-09,Las Vegas Lights FC,NA,San Antonio FC,Cashman Field
2025-08-09,Pittsburgh Riverhounds FC,NA,Orange County SC,Highmark Stadium
2025-08-09,Louisville City FC,NA,Charleston Battery,Lynn Family Stadium
2025-08-09,Oakland Roots SC,NA,Colorado Springs Switchbacks FC,Oakland-Alameda County Coliseum
2025-08-09,Birmingham Legion FC,NA,Hartford Athletic,Protective Stadium
2025-08-09,Sacramento Republic FC,NA,Monterey Bay FC,Heart Health Park
2025-08-09,Lexington SC,NA,Phoenix Rising FC,Lexington SC Stadium
2025-08-09,FC Tulsa,NA,New Mexico United,ONEOK Field
2025-08-15,North Carolina FC,NA,Detroit City FC,First Horizon Stadium at WakeMed Soccer ...
2025-08-16,Miami FC,NA,Louisville City FC,South Dade Kia Field at Pitbull Stadium
2025-08-16,Colorado Springs Switchbacks FC,NA,Orange County SC,Weidner Field
2025-08-16,El Paso Locomotive FC,NA,Monterey Bay FC,Southwest University Park
2025-08-16,Loudoun United FC,NA,Indy Eleven,Segra Field
