Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Ualefi,CHA,CM,641,-0.22,USL1,-0.030889235569422774
Teddy Baker,TXO,DM,263,-0.23,USL1,-0.07870722433460076
Diego Pepi,TXO,ST,99,-0.23,USL1,-0.2090909090909091
Louis Herrera,GVL,DM,689,-0.23,USL1,-0.030043541364296083
Prince Saydee,WES,W,258,-0.24,USL1,-0.08372093023255814
Michel Poon-Angeron,POR,CM,495,-0.24,USL1,-0.04363636363636363
Garrett McLaughlin,MAD,ST,174,-0.24,USL1,-0.12413793103448274
Kaloyan Pehlivanov,AVA,CB,663,-0.24,USL1,-0.03257918552036199
Walter Varela,POR,W,447,-0.24,USL1,-0.04832214765100671
Harrison Robledo,AVA,CM,478,-0.24,USL1,-0.045188284518828455
Joseph Pérez,TRM,FB,57,-0.25,USL1,-0.39473684210526316
Angelo Calfo,TXO,CB,446,-0.25,USL1,-0.05044843049327354
Emmanuel Alaribe,AVA,ST,500,-0.25,USL1,-0.045
Brandon McManus,TXO,ST,441,-0.25,USL1,-0.05102040816326531
Rashid Tetteh,WES,CB,180,-0.25,USL1,-0.125
Oscar Jimenez,TRM,FB,564,-0.26,USL1,-0.041489361702127664
Andrés Ferrín,FCN,W,745,-0.26,USL1,-0.03140939597315436
Javen Romero,CLT,CB,408,-0.27,USL1,-0.059558823529411775
Christopher Garcia,MAD,FB,123,-0.27,USL1,-0.1975609756097561
Masango Akale,SPK,W,241,-0.28,USL1,-0.1045643153526971
Michael Knapp,CHA,CM,669,-0.28,USL1,-0.03766816143497758
Maximiliano Schenfeld,RIC,FB,791,-0.29,USL1,-0.032996207332490514
Daniel Bouman,WES,CM,360,-0.29,USL1,-0.0725
Evan Southern,POR,W,198,-0.3,USL1,-0.13636363636363635
Dakota Barnathan,RIC,DM,1020,-0.3,USL1,-0.026470588235294114
Jayden Onen,FCN,W,712,-0.31,USL1,-0.039185393258426966
Mikey Lopez,POR,FB,384,-0.32,USL1,-0.07500000000000001
Marco Milanese,OMA,CB,508,-0.32,USL1,-0.05669291338582677
Brent Kallman,OMA,CB,507,-0.33,USL1,-0.058579881656804736
Edwin Munjoma,MAD,FB,83,-0.34,USL1,-0.3686746987951807
Shandon Wright,POR,CB,207,-0.34,USL1,-0.14782608695652175
José Carrera-Garcia,MAD,CM,490,-0.35,USL1,-0.06428571428571428
Jon Paul Jordan II,TXO,CM,726,-0.35,USL1,-0.04338842975206611
Miguel Pajaro,AVA,CB,611,-0.35,USL1,-0.05155482815057283
Eduardo Blancas,AVA,W,466,-0.36,USL1,-0.06952789699570816
Hayden Anderson,RIC,W,357,-0.37,USL1,-0.09327731092436975
Thabo Nare,TRM,CB,109,-0.38,USL1,-0.3137614678899083
Simon Fitch,RIC,FB,1020,-0.38,USL1,-0.033529411764705884
Aiden Mesias,MAD,CM,392,-0.38,USL1,-0.08724489795918368
Zane Bubb,GVL,CB,528,-0.39,USL1,-0.06647727272727273
Ferrety Sousa,MAD,FB,581,-0.39,USL1,-0.0604130808950086
Walmer Martinez,AVA,FB,486,-0.39,USL1,-0.07222222222222223
Abel Caputo,KNX,DM,473,-0.39,USL1,-0.07420718816067653
Juan Sebastian Palma,WES,CB,180,-0.4,USL1,-0.2
Anatol Prepelita,TRM,CB,380,-0.4,USL1,-0.09473684210526316
Evan Lee,GVL,CB,744,-0.41,USL1,-0.04959677419354838
Eric Kinzner,CHA,CB,726,-0.42,USL1,-0.05206611570247934
Sebastian Cruz,AVA,W,697,-0.42,USL1,-0.05423242467718795
Ollie Wright,POR,W,357,-0.42,USL1,-0.10588235294117646
William Perkins,TXO,FB,598,-0.42,USL1,-0.06321070234113713
Joaquin Acuna,AVA,CM,123,-0.43,USL1,-0.3146341463414634
Sebastian Velasquez,GVL,AM,334,-0.44,USL1,-0.118562874251497
Handwalla Bwana,TRM,W,241,-0.45,USL1,-0.16804979253112035
Joel Johnson,WES,CM,447,-0.45,USL1,-0.09060402684563759
Gabriel Alves,TRM,FB,710,-0.46,USL1,-0.05830985915492958
Bobby Pierre,WES,CB,326,-0.46,USL1,-0.12699386503067486
Bachir Ndiaye,CLT,DM,709,-0.47,USL1,-0.059661495063469676
Ian Cerro,FCN,W,397,-0.48,USL1,-0.108816120906801
Joe Gallardo,OMA,W,450,-0.52,USL1,-0.104
Jonathan Nyandjo,TRM,W,415,-0.52,USL1,-0.1127710843373494
Ian Garrett,FCN,FB,127,-0.54,USL1,-0.3826771653543308
Maboumou Alassane,AVA,FB,463,-0.55,USL1,-0.10691144708423327
Clay Dimick,CLT,FB,806,-0.56,USL1,-0.06253101736972706
Tobi Jnohope,CHA,CB,316,-0.57,USL1,-0.16234177215189874
Luka Prpa,FCN,ST,601,-0.6,USL1,-0.08985024958402663
James Vaughan,RIC,DM,501,-0.62,USL1,-0.11137724550898202
Guilherme França,RIC,CB,628,-0.63,USL1,-0.09028662420382166
Solomon Asante,TXO,AM,578,-0.63,USL1,-0.0980968858131488
Christopher Heckenberg,FCN,DM,731,-0.64,USL1,-0.07879616963064295
Zahir Vasquez,CHA,ST,326,-0.64,USL1,-0.17668711656441718
Julian Cisneros,FCN,FB,776,-0.65,USL1,-0.07538659793814434
Kevin O'Connor,FCN,CM,779,-0.72,USL1,-0.08318356867779203
David Mason,TXO,FB,567,-0.77,USL1,-0.12222222222222222
Jackson Kasanzu,TRM,CB,508,-0.79,USL1,-0.13996062992125985
Stephen Payne,WES,FB,682,-0.85,USL1,-0.11217008797653957
Noah Powder,WES,W,532,-0.93,USL1,-0.15733082706766918
Jose Carlos Anguiano,GVL,DM,498,-1.02,USL1,-0.18433734939759036
Griffin Garnett,RIC,CB,640,-1.04,USL1,-0.14625000000000002
Sean Vinberg,POR,CB,607,-1.16,USL1,-0.17199341021416803
Declan Watters,CHA,CB,726,-1.43,USL1,-0.17727272727272728
Elvis Amoh,IND,ST,301,1.76,USLC,0.5262458471760797
Taylor Calheira,TUL,ST,782,1.75,USLC,0.20140664961636828
Juan Torres,CHS,W,867,1.71,USLC,0.17750865051903114
Phillip Goodrum,LOU,ST,662,1.41,USLC,0.1916918429003021
Mayele Malango,MB,W,702,1.3,USLC,0.16666666666666669
Matthew Mahoney,COS,CB,1003,1.19,USLC,0.10677966101694915
Peter Wilson,OAK,ST,826,1.12,USLC,0.12203389830508475
Wilmer Cabrera,ELP,W,725,1.06,USLC,0.13158620689655173
Taylor Davila,LOU,CM,880,1.03,USLC,0.1053409090909091
Pacifique Niyongabire,TBR,FB,600,0.99,USLC,0.1485
J.J. Williams,RI,ST,435,0.96,USLC,0.19862068965517243
Arturo Ortíz,ELP,CB,680,0.96,USLC,0.12705882352941175
Damian Rivera,PHX,W,568,0.94,USLC,0.14894366197183098
Hope Avayevu,PHX,CM,815,0.93,USLC,0.1026993865030675
Abdellatif Aboukoura,LDN,W,877,0.86,USLC,0.08825541619156213
Cameron Dunbar,OC,W,354,0.79,USLC,0.20084745762711867
Daltyn Knutson,MIA,CB,713,0.78,USLC,0.09845722300140253
Jake LaCava,SA,W,598,0.69,USLC,0.10384615384615384
Riley Bidois,LDN,ST,385,0.62,USLC,0.14493506493506494
Wesley Leggett,LDN,W,559,0.57,USLC,0.09177101967799642
Jonas Fjeldberg,COS,W,204,0.56,USLC,0.24705882352941178
Forrest Lasso,TBR,CB,498,0.56,USLC,0.10120481927710845
Amando Moreno,ELP,W,940,0.55,USLC,0.05265957446808511
Axel Essengue,PHX,CB,304,0.55,USLC,0.16282894736842107
Joseph Farrell,HFD,CB,657,0.53,USLC,0.0726027397260274
Christopher Hegardt,OC,ST,545,0.53,USLC,0.08752293577981651
Sean Suber,PIT,CB,899,0.51,USLC,0.0510567296996663
Lee Desmond,SAC,CB,390,0.51,USLC,0.1176923076923077
Juan Sebastián Herrera,SAC,ST,566,0.5,USLC,0.07950530035335689
Russell Cicerone,SAC,ST,693,0.49,USLC,0.06363636363636363
Matt Myers,CHS,AM,477,0.49,USLC,0.09245283018867925
Clay Holstad,RI,CM,778,0.49,USLC,0.056683804627249354
Jon-Talen Maples,NM,CB,907,0.48,USLC,0.04762954796030871
Aiden McFadden,LOU,FB,572,0.48,USLC,0.07552447552447553
Luis Paredes,SA,W,456,0.46,USLC,0.09078947368421053
Kobe Hernandez-Foster,BHM,CM,765,0.44,USLC,0.05176470588235294
Alex Villanueva,DET,FB,819,0.44,USLC,0.04835164835164835
Tom Brewitt,OC,CB,848,0.44,USLC,0.04669811320754717
Maliek Howell,LV,CB,672,0.44,USLC,0.05892857142857143
Paul Gindiri,MB,ST,901,0.44,USLC,0.043951165371809105
Robert Castellanos,TBR,CB,726,0.44,USLC,0.05454545454545454
Michael Maldonado,NC,CM,960,0.44,USLC,0.04125
Darius Johnson,PHX,W,188,0.43,USLC,0.20585106382978724
Haruki Yamazaki,DET,FB,122,0.42,USLC,0.30983606557377047
Oalex Anderson,NC,ST,435,0.42,USLC,0.08689655172413793
Pedro Santos,LDN,W,491,0.41,USLC,0.07515274949083503
Justin Rasmussen,OAK,FB,372,0.41,USLC,0.09919354838709676
Stephen Carroll,DET,CB,799,0.4,USLC,0.04505632040050063
Paco Craig,NC,CB,645,0.4,USLC,0.0558139534883721
Woobens Pacius,TBR,ST,767,0.4,USLC,0.0469361147327249
Mitchell Taintor,SA,CB,665,0.39,USLC,0.05278195488721805
Michael Bryant,DET,CB,968,0.38,USLC,0.035330578512396696
Arturo Rodriguez,CHS,W,437,0.37,USLC,0.07620137299771167
Braudílio Rodrigues,LEX,W,528,0.37,USLC,0.06306818181818181
Delentz Pierre,TUL,CB,439,0.37,USLC,0.07585421412300683
Rubio Rubín,CHS,ST,80,0.36,USLC,0.40499999999999997
Daniel Carter,ELP,W,81,0.36,USLC,0.4
Roberto Ydrach,PIT,CB,772,0.35,USLC,0.04080310880829015
Collin Smith,PHX,FB,964,0.35,USLC,0.03267634854771784
Nick Moon,TBR,FB,144,0.34,USLC,0.2125
Jack Blake,IND,AM,728,0.34,USLC,0.042032967032967036
Cal Jennings,CHS,ST,764,0.33,USLC,0.038874345549738225
Bryce Jamison,OC,W,365,0.33,USLC,0.08136986301369863
Luiz Fernando,NM,W,690,0.32,USLC,0.04173913043478261
Bruno Manuel Rendón,IND,W,330,0.32,USLC,0.08727272727272727
Anthony Herbert,NM,CB,128,0.32,USLC,0.225
Jimmy Medranda,SA,FB,872,0.31,USLC,0.031995412844036696
Tyler Pasher,BHM,W,400,0.3,USLC,0.0675
Emil Cuello,PHX,FB,297,0.3,USLC,0.09090909090909091
Nico Benalcazar,OC,CM,908,0.29,USLC,0.028744493392070483
Quenzi Huerman,COS,W,421,0.29,USLC,0.06199524940617577
Leo Fernandes,TBR,W,301,0.29,USLC,0.08671096345514949
Lamar Batista,TUL,CB,916,0.28,USLC,0.027510917030567687
Aimé Mabika,RI,CB,187,0.28,USLC,0.13475935828877006
Kyle Edwards,HFD,ST,209,0.28,USLC,0.12057416267942585
Anton Sojberg Horup,MB,ST,564,0.28,USLC,0.04468085106382979
Alejandro Mitrano,MIA,FB,403,0.27,USLC,0.06029776674937965
Preston Tabort Etaka,BHM,W,499,0.27,USLC,0.048697394789579164
Shaft Brewer,LV,FB,122,0.27,USLC,0.19918032786885248
Elliot Collier,IND,CB,116,0.26,USLC,0.20172413793103447
Ezra Armstrong,NC,FB,165,0.26,USLC,0.14181818181818182
Nick Ross,SAC,CM,353,0.25,USLC,0.06373937677053824
Ousmane Sylla,OC,AM,371,0.24,USLC,0.05822102425876011
James Murphy,IND,DM,807,0.23,USLC,0.025650557620817846
Allen Gavilanes,MIA,W,464,0.23,USLC,0.04461206896551725
Kevin Hoyos,MIA,ST,54,0.22,USLC,0.36666666666666664
Francisco Bonfiglio,MIA,ST,643,0.2,USLC,0.027993779160186628
Rodrigo López,SAC,CM,282,0.19,USLC,0.06063829787234043
Owen Damm,TUL,FB,795,0.19,USLC,0.02150943396226415
Alex Nagy,LDN,W,62,0.19,USLC,0.27580645161290324
Aodhan Quinn,IND,DM,772,0.19,USLC,0.022150259067357514
Albert Dikwa,RI,ST,629,0.18,USLC,0.025755166931637517
Christopher Gloster,NM,FB,378,0.18,USLC,0.04285714285714286
Gabriel Torres,ELP,FB,708,0.18,USLC,0.02288135593220339
Jack Gurr,SAC,FB,732,0.17,USLC,0.0209016393442623
Zachary Zandi,COS,DM,787,0.17,USLC,0.01944091486658196
Aaron Molloy,CHS,DM,908,0.17,USLC,0.016850220264317182
Álvaro Quezada,ELP,FB,298,0.17,USLC,0.05134228187919464
Lewis Jamieson,SAC,ST,444,0.16,USLC,0.032432432432432434
Michael Adedokun,LEX,W,128,0.16,USLC,0.1125
Sofiane Djeffal,LEX,DM,958,0.16,USLC,0.015031315240083509
Louis Pérez,NC,W,503,0.16,USLC,0.028628230616302187
Ryan Doghman,OC,FB,779,0.15,USLC,0.017329910141206675
James Musa,IND,CB,807,0.15,USLC,0.016728624535315983
Tommy McCabe,LDN,DM,990,0.15,USLC,0.013636363636363636
Thomas Amang,NM,ST,158,0.15,USLC,0.08544303797468354
Evan Davila,LOU,CM,288,0.15,USLC,0.046875
Chris Allan,CHS,DM,584,0.15,USLC,0.023116438356164382
Zach Duncan,LOU,CM,297,0.15,USLC,0.045454545454545456
Emmanuel Samadia,HFD,FB,706,0.14,USLC,0.01784702549575071
Joseph Brito,RI,W,277,0.13,USLC,0.042238267148014444
Devon Amoo-Mensah,DET,CB,702,0.13,USLC,0.01666666666666667
John Klein,CHS,W,329,0.13,USLC,0.03556231003039514
Kalil ElMedkhar,TUL,W,376,0.13,USLC,0.031117021276595744
Guillaume Vacter,PIT,CB,197,0.13,USLC,0.05939086294416244
Maalique Foster,IND,W,689,0.13,USLC,0.0169811320754717
Rio Hope-Gund,RI,FB,379,0.12,USLC,0.02849604221635884
Stephen Turnbull,BHM,FB,200,0.12,USLC,0.05399999999999999
Frederik Kleemann,SAC,CB,898,0.1,USLC,0.01002227171492205
Lewis Hilton,TBR,CM,229,0.1,USLC,0.039301310043668124
Tristan Hodge,NC,CB,400,0.1,USLC,0.0225
Ben Mines,LDN,W,546,0.1,USLC,0.016483516483516484
Sami Guediri,MB,FB,344,0.09,USLC,0.023546511627906972
Dmitri Erofeev,SA,W,89,0.09,USLC,0.09101123595505618
Boluwatife Akinyode,MIA,CB,814,0.08,USLC,0.008845208845208846
Juan Agudelo,SA,ST,383,0.08,USLC,0.018798955613577025
Francesco Celeste,MIA,ST,86,0.08,USLC,0.08372093023255814
Pedro Dolabella,NC,W,631,0.08,USLC,0.011410459587955626
Roberto Molina,OC,AM,150,0.07,USLC,0.042
Trevor Amann,SAC,ST,35,0.07,USLC,0.18
Frank Nodarse,RI,CB,655,0.07,USLC,0.009618320610687025
Cristian Parano,SAC,W,646,0.07,USLC,0.00975232198142415
Alexis Souahy,SA,CB,331,0.07,USLC,0.019033232628398795
Luis Saldana,OAK,FB,20,0.07,USLC,0.31500000000000006
Rayan Djedje,SAC,FB,69,0.07,USLC,0.09130434782608696
Moses Mensah,BHM,FB,613,0.06,USLC,0.008809135399673736
Justin Malou,NC,CB,9,0.06,USLC,0.6
Marcus Epps,LEX,W,997,0.06,USLC,0.005416248746238716
Frank López,ELP,W,79,0.05,USLC,0.056962025316455694
Noah Dollenmayer,ELP,FB,104,0.05,USLC,0.04326923076923077
Herbert Endeley,COS,W,525,0.05,USLC,0.008571428571428572
Jake Morris,LOU,FB,36,0.04,USLC,0.1
Max Broughton,PIT,FB,127,0.04,USLC,0.028346456692913385
Ricky Ruiz,ELP,FB,615,0.04,USLC,0.005853658536585367
Ihsan Sacko,PHX,W,730,0.03,USLC,0.0036986301369863013
Edwin Laszo,"BHM, TUL",DM,191,0.03,USLC,0.01413612565445026
Daniel Griffin,PIT,AM,899,0.02,USLC,0.0020022246941045607
Aaron Acloque,MIA,FB,59,0.02,USLC,0.030508474576271188
Langston Blackstock,CHS,FB,421,0.02,USLC,0.004275534441805226
Alexander Rodriguez,TBR,FB,20,0.02,USLC,0.09
Manny Perez,LOU,FB,700,0.01,USLC,0.0012857142857142856
Lyam MacKinnon,OC,W,435,0.01,USLC,0.0020689655172413794
John Scearce,PHX,DM,554,0.0,USLC,0.0
Marcello Polisi,DET,CM,359,0.0,USLC,0.0
Adrien Pérez,LOU,W,383,0.0,USLC,0.0
Kalen Ryden,NM,CB,746,0.0,USLC,0.0
Chibuike Ukaegbu,SAC,CB,363,0.0,USLC,0.0
Michael Lawrence,MIA,ST,68,0.0,USLC,0.0
Gagi Margvelashvili,OAK,CB,80,0.0,USLC,0.0
Joe Hafferty,LEX,FB,823,0.0,USLC,0.0
Camden Riley,OAK,FB,265,0.0,USLC,0.0
Finn McRobb,IND,FB,47,0.0,USLC,0.0
Niall McCabe,LOU,AM,129,-0.0,USLC,-0.0
Dominic Gasso,DET,CM,180,-0.0,USLC,-0.0
Alasanne Ates Diouf,DET,ST,98,-0.0,USLC,-0.0
Pierce Rizzo,PHX,CM,8,-0.0,USLC,-0.0
Finn Calloway,BHM,W,2,-0.0,USLC,-0.0
Alejandro Lara,MB,CB,168,-0.01,USLC,-0.005357142857142857
Anthony Fontana,COS,AM,668,-0.01,USLC,-0.001347305389221557
Gedion Zelalem,NM,DM,439,-0.01,USLC,-0.002050113895216401
Alejandro Araneda,PHX,AM,2,-0.01,USLC,-0.45
Matthew Sheldon,DET,FB,19,-0.01,USLC,-0.04736842105263158
Jorge Hernández,SA,AM,1017,-0.01,USLC,-0.0008849557522123894
Pape Boye,PHX,CB,574,-0.01,USLC,-0.0015679442508710801
Daouda Peeters,LV,CM,17,-0.01,USLC,-0.05294117647058824
Arthur Rogers,TUL,CB,707,-0.01,USLC,-0.0012729844413012729
Josh Erlandson,LDN,W,10,-0.02,USLC,-0.18
Xavi Gnaulati,MB,CM,359,-0.02,USLC,-0.005013927576601671
Justin Portillo,SAC,DM,81,-0.02,USLC,-0.022222222222222223
Giulio Doratiotto,PHX,W,7,-0.02,USLC,-0.2571428571428571
Tyler Clegg,SAC,AM,14,-0.02,USLC,-0.12857142857142856
Charles Ahl,PIT,AM,42,-0.02,USLC,-0.04285714285714286
Da'vian Kimbrough,SAC,AM,8,-0.02,USLC,-0.225
Bobosi Byaruhanga,OAK,CM,553,-0.02,USLC,-0.0032549728752260397
Cyrus Kowall,PHX,W,8,-0.02,USLC,-0.225
Jackson DuBois,NM,CM,19,-0.02,USLC,-0.09473684210526316
Jay Chapman,DET,CM,756,-0.02,USLC,-0.002380952380952381
Tomas Pondeca,NM,CM,166,-0.02,USLC,-0.010843373493975903
Edrey Caceres,LEX,DM,103,-0.03,USLC,-0.026213592233009706
Tumi Moshobane,ELP,W,274,-0.03,USLC,-0.009854014598540146
Justin Ingram,HFD,DM,58,-0.03,USLC,-0.04655172413793104
Kyle Scott,OC,CM,880,-0.03,USLC,-0.0030681818181818184
Nighte Pickering,LV,ST,158,-0.03,USLC,-0.01708860759493671
Christian Volesky,LEX,ST,15,-0.03,USLC,-0.18
Patrick Seagrist,TUL,FB,113,-0.03,USLC,-0.02389380530973451
Darnell King,PHX,ST,25,-0.04,USLC,-0.14400000000000002
Tony Alfaro,ELP,CB,406,-0.04,USLC,-0.008866995073891626
Pablo Linzoain,PIT,W,30,-0.04,USLC,-0.12
Aidan Rocha,COS,DM,283,-0.04,USLC,-0.012720848056537103
Gael Gibert,LEX,CB,514,-0.04,USLC,-0.007003891050583658
Houssou Landru,CHS,FB,815,-0.04,USLC,-0.004417177914110429
Hugh Alexander Dixon,MB,W,144,-0.05,USLC,-0.03125
Ereku Temitayo,BHM,DM,34,-0.05,USLC,-0.1323529411764706
Perrin Barnes,PIT,FB,387,-0.05,USLC,-0.011627906976744188
Deshane Beckford,HFD,W,340,-0.05,USLC,-0.01323529411764706
Carlos Moguel,LOU,CM,104,-0.05,USLC,-0.04326923076923077
Aaron Hurge,LDN,FB,29,-0.05,USLC,-0.15517241379310345
Jace Sais,NM,W,7,-0.05,USLC,-0.6428571428571429
Elias Gärtig,LV,CB,898,-0.06,USLC,-0.0060133630289532294
Charlie Adams,COS,DM,202,-0.06,USLC,-0.026732673267326732
Christian Sorto,LDN,FB,42,-0.06,USLC,-0.12857142857142856
Charlie Dennis,PHX,CM,18,-0.06,USLC,-0.3
Alex Dalou,TUL,W,498,-0.06,USLC,-0.010843373493975903
Graham Smith,CHS,CB,409,-0.06,USLC,-0.013202933985330073
Robert Coronado,ELP,CM,614,-0.06,USLC,-0.008794788273615635
Ethan Pendleton,LDN,FB,46,-0.06,USLC,-0.11739130434782608
Eliot Goldthorp,LEX,W,384,-0.07,USLC,-0.01640625
Stefan Lukic,TUL,W,230,-0.07,USLC,-0.02739130434782609
Carlos Guzmán,MB,CB,967,-0.07,USLC,-0.006514994829369184
Patrick Burner,NC,FB,80,-0.07,USLC,-0.07875000000000001
Rodrigo da Costa,NC,W,454,-0.07,USLC,-0.013876651982378856
Tobías Zarate,MIA,ST,165,-0.08,USLC,-0.04363636363636363
Jonathan Ricketts,MIA,CB,705,-0.08,USLC,-0.010212765957446808
Marco Micaletto,COS,DM,719,-0.08,USLC,-0.010013908205841447
Gerald Díaz,MIA,FB,149,-0.08,USLC,-0.04832214765100672
Morey Doner,DET,FB,275,-0.08,USLC,-0.02618181818181818
Cameron Lindley,IND,DM,64,-0.08,USLC,-0.1125
Rémi Cabral,PHX,ST,730,-0.08,USLC,-0.009863013698630137
Joey Skinner,TBR,FB,83,-0.08,USLC,-0.08674698795180723
Jansen Wilson,LOU,W,567,-0.08,USLC,-0.0126984126984127
Brigham Larsen,PIT,ST,62,-0.08,USLC,-0.11612903225806452
Jacob Rufe,BHM,CB,852,-0.08,USLC,-0.008450704225352114
Lucca Dourado Pereira,BHM,W,47,-0.08,USLC,-0.15319148936170213
Jacob Muir,MB,CB,101,-0.08,USLC,-0.0712871287128713
Ashton Miles,OC,CB,328,-0.08,USLC,-0.02195121951219512
Ryan Flood,PHX,FB,112,-0.09,USLC,-0.07232142857142856
Endri Mustali,TBR,ST,144,-0.09,USLC,-0.05625
Moses Nyeman,LDN,DM,341,-0.09,USLC,-0.02375366568914956
Joshua Drack,CHS,FB,47,-0.09,USLC,-0.1723404255319149
Michael Edwards,CHS,CB,199,-0.09,USLC,-0.0407035175879397
Josh Jones,LOU,CB,87,-0.1,USLC,-0.10344827586206896
Nathan Dossantos,CHS,FB,704,-0.1,USLC,-0.012784090909090912
Coleman Gannon,LV,ST,57,-0.11,USLC,-0.1736842105263158
Dominik Wanner,SAC,FB,584,-0.11,USLC,-0.016952054794520548
Luke Biasi,PIT,FB,690,-0.11,USLC,-0.014347826086956523
Jamie Webber,TUL,W,81,-0.11,USLC,-0.12222222222222222
Dariusz Formella,PHX,W,466,-0.11,USLC,-0.02124463519313305
Isaiah Foster,COS,W,51,-0.11,USLC,-0.1941176470588235
Manuel Arteaga,TBR,ST,742,-0.11,USLC,-0.013342318059299191
Mohamed Traore,PHX,CB,330,-0.11,USLC,-0.03
Hugo Mbongue,LEX,ST,47,-0.11,USLC,-0.21063829787234045
Vuk Latinovich,OC,CB,306,-0.12,USLC,-0.03529411764705882
Jackson Conway,CHS,FB,46,-0.12,USLC,-0.23478260869565215
Luis Felipe Fernandes,SAC,CM,716,-0.12,USLC,-0.015083798882681564
Ethan Zubak,OC,ST,548,-0.12,USLC,-0.01970802919708029
Forster Ajago,LEX,W,52,-0.12,USLC,-0.20769230769230768
Aaron Edwards,SAC,FB,103,-0.12,USLC,-0.10485436893203882
Marcos Serrato,TUL,CM,142,-0.12,USLC,-0.07605633802816901
Jacob Erlandson,LDN,CB,666,-0.12,USLC,-0.016216216216216217
Lucas Stauffer,TUL,FB,208,-0.13,USLC,-0.05625
Phanuel Kavita,BHM,CB,366,-0.13,USLC,-0.031967213114754096
Mohamed Omar,SA,CB,381,-0.13,USLC,-0.030708661417322834
Grayson Doody,OC,FB,486,-0.13,USLC,-0.024074074074074074
Vaughn Covil,LV,W,47,-0.13,USLC,-0.24893617021276596
Mark Segbers,CHS,DM,115,-0.14,USLC,-0.10956521739130436
Kai Greene,OAK,CB,1032,-0.14,USLC,-0.012209302325581397
Nico Gordon,MB,CB,984,-0.14,USLC,-0.01280487804878049
Daniel Barbir,LEX,CB,503,-0.14,USLC,-0.02504970178926442
Nathan Worth,TBR,CM,188,-0.15,USLC,-0.07180851063829786
Oliver Brynéus,IND,W,219,-0.15,USLC,-0.06164383561643836
Benjamin Ofeimu,IND,CB,524,-0.15,USLC,-0.025763358778625955
Mouhamadou War,OC,ST,222,-0.15,USLC,-0.06081081081081081
Braxton Montgomery,PHX,FB,667,-0.16,USLC,-0.02158920539730135
Santiago Suárez,BHM,FB,341,-0.16,USLC,-0.04222873900293255
Pedro Guimaraes,OC,FB,361,-0.16,USLC,-0.03988919667590028
Jack Beer,LEX,AM,209,-0.16,USLC,-0.06889952153110047
Steven Echeverria,COS,CM,159,-0.16,USLC,-0.09056603773584905
Jaylin Lindsey,NM,FB,750,-0.16,USLC,-0.0192
Adam Luckhurst,NC,ST,184,-0.16,USLC,-0.0782608695652174
Dieng Mamadou,HFD,ST,729,-0.16,USLC,-0.019753086419753086
Kyle Adams,LOU,CB,893,-0.16,USLC,-0.01612541993281075
Ryan Spaulding,SAC,FB,211,-0.17,USLC,-0.07251184834123224
Ashish Chattha,LV,CM,75,-0.17,USLC,-0.20400000000000001
Ali Elmasnaouy,OAK,ST,107,-0.17,USLC,-0.1429906542056075
Ethan Bryant,MB,CM,386,-0.17,USLC,-0.039637305699481866
Bertin Jacquesson,PIT,W,148,-0.18,USLC,-0.10945945945945945
Julian Bravo,OAK,CB,533,-0.18,USLC,-0.030393996247654785
Rhys Williams,DET,FB,715,-0.18,USLC,-0.022657342657342656
Hayden White,IND,FB,283,-0.18,USLC,-0.057243816254416956
Akeem Ward,COS,FB,594,-0.19,USLC,-0.028787878787878786
Jordan Scarlett,HFD,CB,808,-0.19,USLC,-0.02116336633663366
Emmanuel Johnson,OAK,ST,320,-0.19,USLC,-0.0534375
Jared Trimmer,SAC,CB,516,-0.19,USLC,-0.033139534883720935
Ollie Bassett,TBR,W,873,-0.2,USLC,-0.020618556701030927
Sebastián Blanco,MIA,W,358,-0.21,USLC,-0.052793296089385475
Grant Robinson,MB,FB,434,-0.21,USLC,-0.043548387096774194
Abdi Mohamed,OAK,FB,464,-0.21,USLC,-0.04073275862068965
Nicolás Cardona,MIA,FB,321,-0.22,USLC,-0.06168224299065421
Ezekiel Soto,CHS,W,26,-0.22,USLC,-0.7615384615384615
Roman Torres,BHM,CM,467,-0.23,USLC,-0.04432548179871521
Jorge Garcia,PIT,CM,207,-0.23,USLC,-0.1
Tristan Trager,OC,ST,141,-0.23,USLC,-0.14680851063829786
McKinze Gaines,NM,W,386,-0.23,USLC,-0.053626943005181345
Daniel Trejo,BHM,W,472,-0.23,USLC,-0.04385593220338983
Faysal Bettache,TUL,W,111,-0.23,USLC,-0.1864864864864865
Ricardo Rivera,MIA,ST,160,-0.24,USLC,-0.135
Cameron MacPherson,TBR,CM,584,-0.24,USLC,-0.036986301369863014
Frank Daroma,ELP,CM,899,-0.24,USLC,-0.024026696329254728
Daniel Bruce,NM,CM,166,-0.24,USLC,-0.13012048192771083
Logan Neidlinger,IND,FB,74,-0.24,USLC,-0.29189189189189185
Luke Ivanovic,MB,W,401,-0.24,USLC,-0.053865336658354114
Sebastian Tregarthen,BHM,W,266,-0.25,USLC,-0.08458646616541353
Marc Ybarra,RI,CM,299,-0.25,USLC,-0.07525083612040134
Arturo Ordoñez,LOU,CB,806,-0.25,USLC,-0.02791563275434243
Joey Akpunonu,CHS,CB,514,-0.26,USLC,-0.04552529182879377
Luke Haakenson,SA,W,520,-0.26,USLC,-0.045
Keegan Tingey,LDN,FB,966,-0.26,USLC,-0.024223602484472053
