Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Brecc Evans,FCN,CB,916,0.98,USL1,0.09628820960698689
Aaron Gómez,OMA,ST,571,0.98,USL1,0.15446584938704028
Pierre Reedy,SPK,W,602,0.87,USL1,0.13006644518272426
Christian Chaney,CLT,ST,689,0.86,USL1,0.11233671988388969
Sergio Ors,OMA,W,335,0.82,USL1,0.22029850746268653
Connor Evans,GVL,FB,779,0.71,USL1,0.08202824133504492
Jordan Skelton,KNX,CB,604,0.7,USL1,0.1043046357615894
Mark Doyle,KNX,W,342,0.67,USL1,0.17631578947368423
Nick Spielman,CLT,CB,806,0.64,USL1,0.07146401985111663
Darwin Espinal,RIC,W,897,0.63,USL1,0.06321070234113713
Adrien Graffin,MAD,AM,23,0.61,USL1,2.3869565217391306
Timmy Mehl,MAD,CB,692,0.61,USL1,0.07933526011560693
Ben Zakowski,GVL,W,536,0.61,USL1,0.10242537313432835
Luis Alvarez,CLT,W,745,0.6,USL1,0.07248322147651007
Alfredo Midence Alvarado,CLT,W,523,0.56,USL1,0.09636711281070746
Conor McGlynn,WES,CM,640,0.55,USL1,0.07734375000000002
David Garcia,SPK,CB,724,0.55,USL1,0.06837016574585636
Philip Spengler,TXO,CM,693,0.52,USL1,0.06753246753246753
Lucky Opara,SPK,FB,526,0.51,USL1,0.08726235741444867
Nico Brown,MAD,FB,669,0.5,USL1,0.06726457399103139
Jerry Desdunes,AVA,W,494,0.49,USL1,0.08927125506072875
Jon Bakero,CLT,W,352,0.48,USL1,0.12272727272727271
Marcelo Lage,SPK,CB,316,0.48,USL1,0.13670886075949368
Karsen Henderlong,FCN,ST,838,0.47,USL1,0.05047732696897375
Dion Acoff,OMA,FB,580,0.47,USL1,0.07293103448275862
Nathaniel James,POR,CM,12,0.43,USL1,3.225
Masashi Wada,POR,CM,377,0.43,USL1,0.1026525198938992
Niall Reid-Stephen,TRM,W,463,0.43,USL1,0.083585313174946
Chandler O'Dwyer,RIC,AM,750,0.41,USL1,0.0492
Juan Carlos Obregón Jr,WES,ST,706,0.4,USL1,0.0509915014164306
Luca Mastrantonio,AVA,CB,533,0.39,USL1,0.06585365853658537
Derek Waldeck,SPK,FB,799,0.39,USL1,0.04392991239048811
Omar Ciss,CLT,DM,565,0.34,USL1,0.05415929203539824
Joshua Ramos,CHA,FB,587,0.33,USL1,0.05059625212947189
Mason Tunbridge,TRM,ST,478,0.33,USL1,0.06213389121338913
Nicola Rosamilia,KNX,W,258,0.32,USL1,0.1116279069767442
Jake Dengler,FCN,CB,815,0.32,USL1,0.035337423312883434
Emiliano Terzaghi,RIC,ST,769,0.29,USL1,0.03394018205461638
Nils Seufert,RIC,CM,828,0.29,USL1,0.03152173913043478
Alhassan,CHA,AM,305,0.29,USL1,0.08557377049180327
Azaad Liadi,POR,ST,480,0.29,USL1,0.05437499999999999
Giovanni Calixtro,KNX,W,174,0.27,USL1,0.1396551724137931
Matthew Bentley,CHA,ST,561,0.27,USL1,0.04331550802139038
Pedro Hernandez,CHA,AM,454,0.24,USL1,0.04757709251101321
Tobi Adewole,WES,CB,505,0.23,USL1,0.04099009900990099
Koen Blommestijn,WES,ST,189,0.23,USL1,0.10952380952380952
Dean Guezen,WES,CM,199,0.21,USL1,0.0949748743718593
Jaheim Brown,KNX,FB,622,0.21,USL1,0.030385852090032153
Chevone Marsh,GVL,W,334,0.2,USL1,0.05389221556886228
Javier Mariona,AVA,ST,53,0.2,USL1,0.33962264150943394
Neco Brett,SPK,ST,186,0.19,USL1,0.09193548387096775
