player_name,rating,team_name,competition,Age,Cluster,adjustment,cluster_rating_zscore,cluster_rating_percentile,Cluster Name,Age Group
albert rusnak,7.3,Seattle Sounders FC,mls,31.0,5,1.0,0.8046421557265664,68.9,10s,prime
julian fernandez,6.9,New York City FC,mls,21.0,6,1.0,0.8591781240762907,75.7,Difference Makers,promising
darren yapi,6.58,Colorado Rapids,mls,20.0,0,1.0,0.8346443003413166,67.3,High Volume Goalscorers,young
djibril diani,6.46,Charlotte FC,mls,27.0,1,1.0,0.518659564226652,54.6,Progressive Passers in Def 3rd,prime
cesar araujo,7.15,Orlando City SC,mls,24.0,7,1.0,1.4077901125565344,95.1,Progressive Dribblers in Def 3rd,promising
danley jean jacques,7.24,Philadelphia Union,mls,25.0,7,1.0,1.5217874240934255,97.9,Progressive Dribblers in Def 3rd,promising
emmanuel latte lath,6.85,Atlanta United FC,mls,26.0,0,1.0,1.1597633619237124,86.7,High Volume Goalscorers,prime
aaron long,7.06,Los Angeles FC,mls,32.0,1,1.0,1.2825250199375495,93.3,Progressive Passers in Def 3rd,Veteran
mikael uhre,6.78,Philadelphia Union,mls,30.0,0,1.0,1.0754732348467957,80.6,High Volume Goalscorers,prime
collin martin,5.425603371216958,North Carolina FC,uslc,30.0,1,0.8134337887881496,-0.7982401894919723,24.8,Progressive Passers in Def 3rd,prime
keegan rosenberry,6.76,Colorado Rapids,mls,31.0,7,1.0,0.913801762563338,77.8,Progressive Dribblers in Def 3rd,prime
henry kessler,6.92,St. Louis City SC,mls,27.0,4,1.0,0.824298395329059,69.7,No-Nonsense Defender,prime
julian aude,6.65,LA Galaxy,mls,22.0,3,1.0,0.6921027120824632,63.8,Attacking FBs,promising
theodore ku-dipietro,6.62,Colorado Rapids,mls,23.0,2,1.0,1.0358650851925546,80.8,Creative 9s,promising
kalil elmedkhar,5.344259992338143,FC Tulsa,uslc,25.0,0,0.8134337887881496,-0.6533654465136686,33.5,High Volume Goalscorers,promising
bernard kamungo,6.47,FC Dallas,mls,23.0,0,1.0,0.702188386363303,66.1,High Volume Goalscorers,promising
felipe mora,6.69,Portland Timbers FC,mls,31.0,2,1.0,1.1186922800850294,85.0,Creative 9s,prime
isaiah parente,6.5,LA Galaxy,mls,25.0,1,1.0,0.569583927940712,58.8,Progressive Passers in Def 3rd,promising
anderson julio,6.87,FC Dallas,mls,29.0,0,1.0,1.1838462553742608,88.3,High Volume Goalscorers,prime
brayan ceballos,7.03,New England Revolution,mls,24.0,4,1.0,0.9551296423409932,77.8,No-Nonsense Defender,promising
igor jesus,7.26,Los Angeles FC,mls,22.0,7,1.0,1.5471201599905118,98.6,Progressive Dribblers in Def 3rd,promising
luca langoni,6.62,New England Revolution,mls,23.0,2,1.0,1.0358650851925546,80.8,Creative 9s,promising
william kumado,6.51,San Diego FC,mls,22.0,3,1.0,0.5206986255297923,58.6,Attacking FBs,promising
juan mosquera,7.03,Portland Timbers FC,mls,22.0,3,1.0,1.157342375582568,83.6,Attacking FBs,promising
luke haakenson,5.450006384880603,San Antonio FC,uslc,27.0,2,0.8134337887881496,-0.3485247602709445,49.5,Creative 9s,prime
stephen turnbull,5.6859021836291666,Birmingham Legion FC,uslc,27.0,3,0.8134337887881496,-0.48825661336372805,41.1,Attacking FBs,prime
jansen miller,6.74,Sporting Kansas City,mls,23.0,1,1.0,0.8751301102250714,74.4,Progressive Passers in Def 3rd,promising
tyler polak,5.051431490231132,Greenville Triumph SC,usl1,33.0,3,0.717532882135104,-1.265048539408938,13.2,Attacking FBs,Veteran
conor doyle,4.628087089771421,South Georgia Tormenta FC,usl1,33.0,2,0.717532882135104,-1.3210571837265639,6.1,Creative 9s,Veteran
noel caliskan,6.92,Real Salt Lake,mls,24.0,7,1.0,1.1164636497400338,86.6,Progressive Dribblers in Def 3rd,promising
sebastian blanco,5.628961818413996,The Miami FC,uslc,37.0,5,0.8134337887881496,-1.0584029850217744,18.9,10s,Veteran
eric maxim choupo-moting,7.18,New York Red Bulls,mls,36.0,2,1.0,1.698482644332349,96.3,Creative 9s,Veteran
kendall burks,5.482543736432129,Lexington SC,uslc,25.0,1,0.8134337887881496,-0.7257488927862531,27.3,Progressive Passers in Def 3rd,promising
jakob glesnes,7.16,Philadelphia Union,mls,31.0,1,1.0,1.4098359292226998,96.2,Progressive Passers in Def 3rd,prime
sean zawadzki,7.43,Columbus Crew,mls,25.0,7,1.0,1.762448415115751,100.0,Progressive Dribblers in Def 3rd,promising
luca petrasso,6.58,CF Montréal,mls,25.0,3,1.0,0.6064006688061278,61.5,Attacking FBs,promising
eryk williamson,6.21,Charlotte FC,mls,28.0,3,1.0,0.15340415434549912,52.6,Attacking FBs,prime
marcus epps,5.767245562507981,Lexington SC,uslc,30.0,6,0.8134337887881496,-0.43404320122166723,46.9,Difference Makers,prime
akil watts,6.53,St. Louis City SC,mls,25.0,3,1.0,0.5451849236087457,60.2,Attacking FBs,promising
jovan lukic,7.34,Philadelphia Union,mls,23.0,4,1.0,1.3238358839200788,93.9,No-Nonsense Defender,promising
dennis gjengaar,6.46,New York Red Bulls,mls,21.0,2,1.0,0.8465457825811845,68.2,Creative 9s,promising
brayan vera,6.82,Real Salt Lake,mls,26.0,1,1.0,0.9769788376531912,80.3,Progressive Passers in Def 3rd,prime
jeremy ebobisse,6.58,Los Angeles FC,mls,28.0,2,1.0,0.9885352595397121,78.5,Creative 9s,prime
tom barlow,6.3,Chicago Fire FC,mls,30.0,2,1.0,0.6572264799698143,64.5,Creative 9s,prime
david martinez,6.87,Inter Miami CF,mls,27.0,7,1.0,1.0531318099973166,83.1,Progressive Dribblers in Def 3rd,prime
andres cubas,6.99,Vancouver Whitecaps FC,mls,29.0,7,1.0,1.2051282253798385,89.8,Progressive Dribblers in Def 3rd,prime
justen glad,6.83,Real Salt Lake,mls,28.0,4,1.0,0.7172546477738407,64.1,No-Nonsense Defender,prime
