Team_1,Team_1_ID,Team_2,Team_2_ID,Distance_miles
Birmingham Legion FC,1003207,North Carolina FC,162185,484.2486799583685
Birmingham Legion FC,1003207,Oakland Roots SC,1130413,2003.5130859814321
Birmingham Legion FC,1003207,One Knoxville SC,1358088,235.95290403232102
Birmingham Legion FC,1003207,Orlando City FC,267810,458.1918637133732
Birmingham Legion FC,1003207,Philadelphia Union,191716,768.3025223382496
Birmingham Legion FC,1003207,Phoenix Rising FC,424268,1455.5880988443369
Birmingham Legion FC,1003207,Portland Hearts of Pine,1701883,1132.7203284519387
Birmingham Legion FC,1003207,Portland Timbers,307690,2067.2463668920846
Birmingham Legion FC,1003207,Rhode Island FC,1597140,1020.2150379835331
Birmingham Legion FC,1003207,Richmond Kickers,267811,594.538431163286
Birmingham Legion FC,1003207,Sacramento Republic FC,521004,1961.5602392763508
Birmingham Legion FC,1003207,San Antonio FC,722269,736.369633843297
Birmingham Legion FC,1003207,San Jose Earthquakes,6603,1988.3208670063507
Birmingham Legion FC,1003207,Seattle Sounders FC,130394,2082.353533844431
Birmingham Legion FC,1003207,South Georgia Tormenta FC,727430,300.43222114853444
Birmingham Legion FC,1003207,Spokane Velocity FC,1584038,1865.2136570971259
Birmingham Legion FC,1003207,Sporting Kansas City,6604,575.4130089016162
Birmingham Legion FC,1003207,St. Louis CITY SC,1427963,401.0581727679857
Birmingham Legion FC,1003207,Toronto FC,56453,803.5547979931637
Charlotte Independence,614315,Chattanooga Red Wolves SC,1004918,254.0270963764417
Charlotte Independence,614315,Chicago Fire FC,6397,588.3690076599528
Charlotte Independence,614315,Detroit City FC,540855,505.3830318346861
Charlotte Independence,614315,El Paso Locomotive FC,1003209,1496.2074091290579
Charlotte Independence,614315,FC Naples,1701877,625.6034597601848
Charlotte Independence,614315,Forward Madison FC,1004919,709.6906801809531
Charlotte Independence,614315,Greenville Triumph SC,1004920,92.55197569566583
Charlotte Independence,614315,Houston Dynamo FC,8259,927.1769853499454
Charlotte Independence,614315,Indy Eleven,514649,428.74169831938895
Charlotte Independence,614315,Las Vegas Lights FC,915809,1920.303172027105
Charlotte Independence,614315,Los Angeles FC,867280,2125.477111920951
Charlotte Independence,614315,Louisville City FC,614316,342.8386291336983
Charlotte Independence,614315,Miami FC,721896,652.4949676604313
Charlotte Independence,614315,Minnesota United FC,207242,942.9912769511611
Charlotte Independence,614315,Monterey Bay FC,915808,2282.3214133378933
Charlotte Independence,614315,Nashville SC,915807,344.3313474411199
Charlotte Independence,614315,New Mexico United,1003208,1455.390261999495
Charlotte Independence,614315,Orange County SC,267813,2151.343453210529
Charlotte Independence,614315,Pittsburgh Riverhounds FC,267816,361.08248294239195
Charlotte Independence,614315,Real Salt Lake City,6606,1727.8014390952153
Charlotte Independence,614315,San Diego FC,1701119,2080.415902993147
Charlotte Independence,614315,Tampa Bay Rowdies,197328,511.1640490685498
Charlotte Independence,614315,Texoma FC,1701884,906.9053506542897
Charlotte Independence,614315,Union Omaha,1121685,924.8697436939918
Charlotte Independence,614315,Vancouver Whitecaps FC,307691,2337.1332028785855
Charlotte Independence,614315,Westchester SC,1706430,530.9942017667352
Charlotte Independence,614315,Atlanta United FC,773958,227.13618236881732
Charlotte Independence,614315,CF Montreal,161195,809.5329459686727
Charlotte Independence,614315,Charleston Battery,162183,175.61547057145938
Charlotte Independence,614315,Charlotte FC,1323940,6.476185167132876
Charlotte Independence,614315,Colorado Rapids,8314,1354.7143729461943
Charlotte Independence,614315,Colorado Springs Switchbacks FC,614321,1340.0771744945948
Charlotte Independence,614315,Columbus Crew,6001,350.9357144955723
Charlotte Independence,614315,D.C. United,6602,330.83295373331964
Charlotte Independence,614315,FC Cincinnati,722265,331.9458317471734
Charlotte Independence,614315,FC Dallas,6399,926.7390096148006
Charlotte Independence,614315,FC Tulsa,614325,852.0676870284591
Charlotte Independence,614315,Hartford Athletic,1003206,631.2493978869586
Charlotte Independence,614315,Inter Miami CF,960720,623.0187597259279
Charlotte Independence,614315,Lexington SC,1430405,273.73491542556127
Charlotte Independence,614315,Los Angeles Galaxy,6637,2124.665519589084
Charlotte Independence,614315,Loudoun United FC,1003205,321.37604675855374
Charlotte Independence,614315,New England Revolution,6580,700.7835144187904
Charlotte Independence,614315,New York City FC,546238,533.8815561257942
Charlotte Independence,614315,New York Red Bulls,6514,532.4395231445061
Charlotte Independence,614315,North Carolina FC,162185,123.34291723144301
Charlotte Independence,614315,Oakland Roots SC,1130413,2293.426809141603
Charlotte Independence,614315,One Knoxville SC,1358088,181.35749745138938
Charlotte Independence,614315,Orlando City FC,267810,444.4532639116043
Charlotte Independence,614315,Philadelphia Union,191716,436.2890570828579
Charlotte Independence,614315,Phoenix Rising FC,424268,1782.9895640744346
Charlotte Independence,614315,Portland Hearts of Pine,1701883,810.1085890626166
Charlotte Independence,614315,Portland Timbers,307690,2291.50514537096
Charlotte Independence,614315,Rhode Island FC,1597140,686.3396240839829
Charlotte Independence,614315,Richmond Kickers,267811,247.35144705276065
Charlotte Independence,614315,Sacramento Republic FC,521004,2245.605638557445
Charlotte Independence,614315,San Antonio FC,722269,1097.1728128500251
Charlotte Independence,614315,San Jose Earthquakes,6603,2281.101034938673
Charlotte Independence,614315,Seattle Sounders FC,130394,2286.404011650965
Charlotte Independence,614315,South Georgia Tormenta FC,727430,201.88521361938058
Charlotte Independence,614315,Spokane Velocity FC,1584038,2060.5666911434914
Charlotte Independence,614315,Sporting Kansas City,6604,802.8870836811002
