"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Tyler Clegg","SAC","2025","AM","14","-0.00","-0.00","0.01","0.00","-0.01","-0.01","-0.02"
"","Charles Ahl","PIT","2025","AM","42","0.03","-0.00","0.05","-0.05","-0.03","-0.00","-0.02"
"","Da'vian Kimbrough","SAC","2025","AM","8","-0.00","-0.00","-0.00","-0.00","-0.01","-0.00","-0.02"
"","Bobosi Byaruhanga","OAK","2025","CM","553","0.03","0.04","0.14","-0.15","-0.09","0.01","-0.02"
"","Cyrus Kowall","PHX","2025","W","8","0.01","-0.00","-0.00","-0.02","-0.00","-0.00","-0.02"
"","Jackson DuBois","NM","2025","CM","19","-0.02","0.00","-0.01","0.02","-0.01","-0.00","-0.02"
"","Jay Chapman","DET","2025","CM","756","0.10","-0.00","0.00","0.01","-0.13","-0.00","-0.02"
"","Tomas Pondeca","NM","2025","CM","166","0.14","-0.02","-0.08","-0.04","-0.05","0.02","-0.02"
"","Edrey Caceres","LEX","2025","DM","103","0.02","-0.02","0.02","-0.00","-0.03","-0.02","-0.03"
"","Tumi Moshobane","ELP","2025","W","274","-0.23","0.03","-0.07","0.13","0.08","0.03","-0.03"
"","Justin Ingram","HFD","2025","DM","58","0.03","-0.06","-0.02","0.05","-0.01","-0.01","-0.03"
"","Kyle Scott","OC","2025","CM","880","-0.13","0.02","-0.10","0.36","-0.15","-0.04","-0.03"
"","Nighte Pickering","LV","2025","ST","158","0.04","-0.03","-0.01","0.01","-0.09","0.06","-0.03"
"","Christian Volesky","LEX","2025","ST","15","-0.02","-0.00","-0.01","0.01","-0.00","-0.01","-0.03"
"","Patrick Seagrist","TUL","2025","FB","113","-0.03","0.00","0.02","-0.06","0.01","0.03","-0.03"
"","Darnell King","PHX","2025","ST","25","0.01","-0.00","0.01","0.01","-0.05","-0.02","-0.04"
"","Tony Alfaro","ELP","2025","CB","406","-0.02","-0.24","0.40","-0.04","-0.09","-0.04","-0.04"
"","Pablo Linzoain","PIT","2025","W","30","-0.07","-0.01","0.02","0.01","-0.02","0.02","-0.04"
"","Aidan Rocha","COS","2025","DM","283","-0.03","0.05","0.11","-0.09","-0.07","-0.02","-0.04"
"","Gael Gibert","LEX","2025","CB","514","-0.07","0.01","0.16","0.14","-0.18","-0.09","-0.04"
"","Houssou Landru","CHS","2025","FB","815","-0.03","0.24","-0.16","-0.06","0.03","-0.06","-0.04"
"","Hugh Alexander Dixon","MB","2025","W","144","0.04","-0.01","-0.01","0.04","-0.09","-0.02","-0.05"
"","Ereku Temitayo","BHM","2025","DM","34","-0.02","-0.00","-0.02","0.00","-0.01","-0.01","-0.05"
"","Perrin Barnes","PIT","2025","FB","387","-0.03","0.03","0.09","-0.07","-0.01","-0.05","-0.05"
"","Deshane Beckford","HFD","2025","W","340","-0.11","0.01","0.18","-0.13","-0.07","0.07","-0.05"
"","Carlos Moguel","LOU","2025","CM","104","-0.00","0.00","-0.03","0.06","-0.05","-0.03","-0.05"
"","Aaron Hurge","LDN","2025","FB","29","-0.04","-0.01","-0.02","-0.00","0.02","-0.01","-0.05"
"","Jace Sais","NM","2025","W","7","-0.05","-0.00","-0.00","0.01","-0.01","-0.00","-0.05"
"","Elias Gärtig","LV","2025","CB","898","-0.08","0.04","-0.06","0.10","-0.03","-0.03","-0.06"
"","Charlie Adams","COS","2025","DM","202","0.02","0.01","0.01","-0.05","-0.04","-0.01","-0.06"
"","Christian Sorto","LDN","2025","FB","42","0.03","-0.01","-0.01","0.01","-0.06","-0.02","-0.06"
"","Charlie Dennis","PHX","2025","CM","18","-0.08","-0.00","-0.00","0.03","-0.00","-0.00","-0.06"
"","Alex Dalou","TUL","2025","W","498","0.20","-0.05","0.02","0.07","-0.21","-0.09","-0.06"
"","Graham Smith","CHS","2025","CB","409","0.15","0.05","-0.33","-0.05","0.17","-0.04","-0.06"
"","Robert Coronado","ELP","2025","CM","614","-0.05","-0.05","0.36","0.02","-0.24","-0.11","-0.06"
"","Ethan Pendleton","LDN","2025","FB","46","-0.01","0.04","-0.06","-0.02","-0.00","-0.01","-0.06"
"","Eliot Goldthorp","LEX","2025","W","384","0.18","0.01","-0.13","0.18","-0.23","-0.08","-0.07"
"","Stefan Lukic","TUL","2025","W","230","-0.12","-0.04","0.11","-0.07","-0.09","0.15","-0.07"
"","Carlos Guzmán","MB","2025","CB","967","-0.04","0.07","-0.12","0.07","-0.01","-0.03","-0.07"
"","Patrick Burner","NC","2025","FB","80","-0.03","0.01","-0.06","0.00","0.01","-0.01","-0.07"
"","Rodrigo da Costa","NC","2025","W","454","-0.02","-0.00","-0.12","-0.20","0.27","-0.00","-0.07"
"","Tobías Zarate","MIA","2025","ST","165","0.06","-0.04","0.01","-0.08","-0.05","0.02","-0.08"
"","Jonathan Ricketts","MIA","2025","CB","705","-0.29","0.04","0.23","-0.04","0.04","-0.04","-0.08"
"","Marco Micaletto","COS","2025","DM","719","0.14","0.34","-0.19","-0.12","-0.25","0.00","-0.08"
"","Gerald Díaz","MIA","2025","FB","149","-0.03","-0.03","0.11","-0.09","-0.03","-0.00","-0.08"
"","Morey Doner","DET","2025","FB","275","-0.04","0.01","0.06","-0.08","-0.05","0.01","-0.08"
"","Cameron Lindley","IND","2025","DM","64","-0.01","0.00","-0.04","0.01","-0.02","-0.02","-0.08"
"","Rémi Cabral","PHX","2025","ST","730","0.02","0.08","-0.21","-0.05","0.12","-0.04","-0.08"
"","Joey Skinner","TBR","2025","FB","83","0.02","-0.00","-0.02","-0.05","-0.00","-0.02","-0.08"
"","Jansen Wilson","LOU","2025","W","567","-0.18","-0.06","-0.07","0.13","0.05","0.04","-0.08"
"","Brigham Larsen","PIT","2025","ST","62","-0.05","-0.02","-0.01","-0.05","0.08","-0.03","-0.08"
"","Jacob Rufe","BHM","2025","CB","852","-0.01","0.04","-0.03","-0.17","0.12","-0.04","-0.08"
"","Lucca Dourado Pereira","BHM","2025","W","47","-0.01","-0.01","-0.02","-0.01","-0.05","0.01","-0.08"
"","Jacob Muir","MB","2025","CB","101","0.01","0.01","0.00","-0.07","-0.03","-0.01","-0.08"
"","Ashton Miles","OC","2025","CB","328","-0.19","0.03","-0.01","0.02","0.11","-0.04","-0.08"
"","Ryan Flood","PHX","2025","FB","112","-0.01","0.00","-0.05","0.00","-0.02","-0.00","-0.09"
"","Endri Mustali","TBR","2025","ST","144","-0.02","-0.01","-0.05","-0.11","0.11","-0.01","-0.09"
"","Moses Nyeman","LDN","2025","DM","341","-0.07","-0.03","0.27","-0.05","-0.15","-0.06","-0.09"
"","Joshua Drack","CHS","2025","FB","47","-0.02","0.00","-0.03","-0.01","-0.02","-0.01","-0.09"
"","Michael Edwards","CHS","2025","CB","199","0.01","0.03","-0.01","-0.06","-0.04","-0.02","-0.09"
"","Josh Jones","LOU","2025","CB","87","-0.00","-0.01","-0.12","0.04","0.01","-0.01","-0.10"
"","Nathan Dossantos","CHS","2025","FB","704","0.05","0.21","-0.01","-0.10","-0.17","-0.08","-0.10"
"","Coleman Gannon","LV","2025","ST","57","-0.05","-0.01","0.06","-0.04","-0.04","-0.02","-0.11"
"","Dominik Wanner","SAC","2025","FB","584","0.20","-0.07","-0.19","-0.16","0.07","0.05","-0.11"
"","Luke Biasi","PIT","2025","FB","690","0.12","0.06","-0.06","-0.17","-0.05","-0.01","-0.11"
"","Jamie Webber","TUL","2025","W","81","-0.02","-0.00","0.00","-0.10","-0.01","0.02","-0.11"
