"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Henry Kessler","STL","2025","CB","819","-0.02","0.07","0.68","-0.20","-0.08","-0.05","0.40"
"","Julio Cascante","ATX","2025","CB","451","0.09","0.05","0.20","0.10","-0.04","0.01","0.40"
"","Žan Kolmanič","ATX","2025","FB","342","0.05","0.04","0.18","0.15","0.00","-0.03","0.40"
"","Rominigue Kouame","CHI","2025","CM","171","0.26","-0.02","-0.01","-0.06","0.12","0.10","0.40"
"","Cengiz Ünder","LAFC","2025","W","504","0.43","0.05","0.02","0.06","-0.30","0.13","0.39"
"","Conrad Wallem","STL","2025","FB","1211","-0.01","-0.03","0.46","-0.57","0.32","0.22","0.39"
"","Owen Wolff","ATX","2025","CM","1245","0.20","-0.04","0.29","0.73","-0.56","-0.23","0.39"
"","Justin Haak","NYC","2025","CB","1375","-0.16","0.07","0.82","-0.14","-0.12","-0.08","0.39"
"","Shaq Moore","FCD","2025","FB","1177","-0.23","0.05","0.38","-0.15","0.26","0.07","0.39"
"","Cameron Harper","NYRB","2025","FB","517","0.03","-0.02","-0.18","-0.04","0.38","0.20","0.38"
"","Nathan Harriel","PHI","2025","CB","967","-0.24","0.08","0.53","-0.11","0.13","-0.01","0.38"
"","Aaron Herrera","DCU","2025","FB","1208","-0.03","0.05","0.16","0.29","-0.16","0.06","0.38"
"","Lucas Bartlett","DCU","2025","CB","1300","0.03","0.18","0.33","-0.17","0.10","-0.09","0.37"
"","Maximiliano Falcón","MIA","2025","CB","584","0.07","0.07","0.16","-0.18","0.24","0.01","0.37"
"","Tim Leibold","SKC","2025","FB","385","0.07","0.03","0.29","-0.15","0.06","0.08","0.37"
"","Fafa Picault","MIA","2025","W","400","-0.24","-0.05","0.02","-0.04","0.56","0.13","0.37"
"","Timo Baumgartl","STL","2025","CB","698","-0.32","-0.16","0.98","-0.09","-0.03","-0.01","0.36"
"","Jacob Shaffelburg","NSH","2025","W","504","-0.11","0.30","0.03","0.07","0.14","-0.07","0.36"
"","Ivan Glavinovich","PHI","2025","CB","292","-0.01","0.04","0.15","0.01","0.10","0.07","0.36"
"","Andrés Herrera","CLB","2025","FB","346","0.13","0.02","-0.07","0.11","0.08","0.08","0.35"
"","Onni Valakari","SD","2025","ST","876","-0.39","0.00","-0.08","0.09","0.81","-0.08","0.35"
"","Claudio Bravo","POR","2025","FB","338","0.13","-0.27","0.28","0.19","-0.03","0.03","0.34"
"","Joseph Rosales","MIN","2025","FB","635","0.03","0.24","-0.11","0.13","-0.00","0.06","0.34"
"","Andreas Maxsø","COL","2025","CB","1216","0.02","0.14","0.27","0.06","-0.14","-0.02","0.33"
"","Patrick Agyemang","CLT","2025","ST","1054","0.21","0.40","-0.22","0.03","0.06","-0.16","0.32"
"","Joel Waterman","MTL","2025","CB","1060","-0.09","0.03","0.37","0.26","-0.14","-0.12","0.32"
"","Francis Westfield","PHI","2025","FB","1159","-0.17","0.08","0.45","0.03","-0.16","0.08","0.31"
"","David Martínez","MIA","2025","FB","138","0.09","-0.02","0.08","0.03","0.07","0.06","0.31"
"","Sebastian Berhalter","VAN","2025","CM","1038","-0.08","-0.30","0.17","0.60","-0.19","0.10","0.31"
"","Marco Reus","LAG","2025","AM","644","-0.02","0.08","-0.02","0.06","0.02","0.17","0.30"
"","Eduard Atuesta","ORL","2025","DM","690","-0.16","0.20","-0.18","0.24","0.09","0.10","0.30"
"","Stephen Afrifa","SKC","2025","DM","16","0.03","0.26","-0.00","0.02","-0.01","-0.01","0.30"
"","Walker Zimmerman","NSH","2025","CB","685","-0.01","0.05","0.06","0.05","0.08","0.07","0.29"
"","Brandon Vázquez","ATX","2025","ST","1198","-0.64","-0.11","0.08","0.29","0.66","0.01","0.29"
"","Kalani Kossa-Rienzi","SEA","2025","FB","554","0.03","-0.03","0.36","-0.07","0.01","-0.01","0.29"
"","Petar Musa","FCD","2025","ST","815","-0.46","-0.12","0.67","0.06","0.27","-0.15","0.29"
"","Mathías Laborda","VAN","2025","FB","635","-0.31","-0.02","-0.37","0.32","0.52","0.15","0.28"
"","Joakim Nilsson","STL","2025","CB","167","0.01","0.01","0.25","0.02","-0.06","0.04","0.27"
"","Ola Brynhildsen","TOR","2025","ST","498","0.67","0.06","-0.07","-0.05","-0.18","-0.16","0.26"
"","Cole Bassett","COL","2025","W","1126","0.19","-0.11","0.12","-0.18","0.06","0.19","0.26"
"","Mikael Uhre","PHI","2025","ST","831","0.34","0.17","0.03","-0.80","0.26","0.25","0.26"
"","Olivier Giroud","LAFC","2025","ST","471","0.07","0.02","-0.00","-0.14","0.41","-0.11","0.26"
"","Jonathan Pérez","NSH","2025","W","199","0.17","-0.02","0.07","0.02","-0.05","0.06","0.26"
"","Felipe","HOU","2025","FB","183","-0.02","-0.01","0.27","-0.06","-0.04","0.11","0.25"
"","Nkosi Tafari","LAFC","2025","CB","500","-0.04","0.02","0.32","-0.00","-0.00","-0.06","0.24"
"","Sergi Palencia","LAFC","2025","FB","1246","-0.12","-0.03","0.47","0.06","-0.03","-0.10","0.24"
